"","Grid","effort_start","effort_end"
"1","K1010",2017-04-05 10:47:04,2017-05-10 08:19:20
"2","K1011",2017-04-03 11:45:23,2017-04-05 18:17:00
"3","K1011",2017-04-05 19:17:00,2017-05-10 08:38:07
"4","K743",2017-04-04 09:00:08,2017-05-09 07:35:52
"5","K781",2017-04-03 13:47:27,2017-04-09 21:44:00
"6","K781",2017-04-09 22:44:00,2017-04-18 08:31:57
"7","K781_2",2017-04-18 09:51:45,2017-05-04 21:39:57
"8","K782",2017-04-03 14:42:28,2017-05-08 06:11:03
"9","K783",2017-04-03 19:19:45,2017-05-09 17:33:00
"10","K819",2017-04-03 16:14:38,2017-05-03 14:28:20
"11","K820",2017-04-03 17:05:05,2017-05-06 23:37:06
"12","K821",2017-04-03 18:00:58,2017-04-30 08:20:17
"13","K822",2017-04-03 20:09:03,2017-04-30 23:04:09
"14","K826",2017-04-05 14:11:53,2017-05-09 10:22:38
"15","K827",2017-04-05 14:52:02,2017-05-01 17:13:51
"16","K855",2017-04-04 12:43:51,2017-05-09 09:44:40
"17","K856",2017-04-03 19:43:46,2017-05-09 08:29:00
"18","K856",2017-05-09 09:29:00,2017-05-09 17:32:00
"19","K857",2017-04-12 04:10:25,2017-05-09 08:19:08
"20","K858",2017-04-03 16:26:14,2017-05-09 04:46:58
"21","K859",2017-04-03 17:09:17,2017-05-09 06:19:23
"22","K860",2017-04-03 12:49:25,2017-05-09 06:33:56
"23","K861",2017-04-04 10:49:48,2017-05-07 23:34:26
"24","K893",2017-04-04 13:17:15,2017-05-09 09:52:52
"25","K894",2017-04-04 08:49:12,2017-05-07 00:17:12
"26","K896",2017-04-03 18:37:10,2017-05-05 22:42:00
"27","K896",2017-05-05 23:42:00,2017-05-09 09:10:15
"28","K897",2017-04-03 17:55:31,2017-04-23 18:06:00
"29","K897",2017-04-23 19:06:00,2017-05-09 19:05:01
"30","K898",2017-04-03 13:40:25,2017-04-23 08:03:40
"31","K902",2017-04-04 12:11:39,2017-05-10 06:23:07
"32","K931",2017-04-04 09:40:09,2017-05-08 20:00:16
"33","K932",2017-04-04 10:17:23,2017-05-05 22:47:09
"34","K933",2017-04-05 09:25:14,2017-05-09 06:01:07
"35","K934",2017-04-03 14:37:32,2017-04-14 05:37:00
"36","K934",2017-04-14 06:37:00,2017-04-17 07:58:38
"37","K939",2017-04-04 13:11:18,2017-04-22 14:13:06
"38","K968",2017-04-04 14:27:43,2017-04-27 05:35:56
"39","K969",2017-04-05 08:49:34,2017-05-02 03:31:40
"40","K974",2017-04-04 14:17:22,2017-05-10 05:07:00
"41","K975",2017-04-05 12:25:35,2017-05-10 08:50:17
"42","K976",2017-04-05 13:03:22,2017-04-29 11:40:44
"43","S100",2016-12-22 18:41:09,2017-01-29 14:58:05
"44","S104",2016-12-25 13:12:29,2017-01-29 15:42:18
"45","S107",2016-12-22 19:03:27,2017-01-29 15:31:43
"46","S108",2016-12-25 09:44:39,2017-01-29 14:18:30
"47","S109",2016-12-23 09:35:10,2017-01-18 03:38:00
"48","S109",2017-01-18 04:38:00,2017-01-30 12:38:14
"49","S110",2016-12-23 10:13:29,2017-01-30 12:48:58
"50","S111",2016-12-23 10:08:43,2016-12-26 16:06:28
"51","S112",2016-12-23 12:24:11,2017-01-30 13:18:04
"52","S113",2016-12-23 14:04:56,2017-01-06 16:20:00
"53","S113",2017-01-06 17:20:00,2017-01-29 16:26:34
"54","S114",2016-12-25 14:30:34,2017-01-29 16:13:50
"55","S115",2016-12-26 17:22:21,2017-01-29 15:55:53
"56","S116",2016-12-26 18:22:28,2017-01-29 17:03:39
"57","S120",2016-12-23 11:10:50,2016-12-30 16:24:24
"58","S121",2016-12-23 13:36:07,2017-01-29 15:59:31
"59","S122",2016-12-23 18:34:18,2017-01-29 14:49:09
"60","S123",2016-12-24 11:31:43,2017-01-29 17:02:02
"61","S123_1",2016-12-24 09:42:11,2017-01-29 14:37:20
"62","S124",2016-12-24 17:05:23,2017-01-30 15:29:48
"63","S125",2016-12-25 10:43:18,2017-01-29 18:23:53
"64","S126",2016-12-25 12:24:55,2017-01-29 16:45:29
"65","S127",2016-12-25 16:02:24,2017-01-30 18:06:10
"66","S128",2016-12-25 17:19:06,2017-01-30 17:52:43
"67","S130",2016-12-24 10:40:40,2017-01-03 15:20:45
"68","S131",2016-12-26 11:32:22,2017-01-30 17:35:02
"69","S132",2016-12-23 12:33:26,2017-01-29 16:21:10
"70","S133",2016-12-23 17:32:27,2017-01-29 16:40:30
"71","S134",2016-12-24 10:40:40,2017-01-29 17:23:34
"72","S135",2016-12-24 18:10:56,2017-01-29 17:38:18
"73","S136",2016-12-24 19:01:18,2017-01-29 18:06:36
"74","S137",2016-12-24 12:58:31,2017-01-30 15:57:37
"75","S138",2016-12-24 14:36:10,2017-01-30 16:19:49
"76","S138_1",2016-12-24 13:48:57,2017-01-05 23:04:19
"77","S140",2016-12-26 17:00:58,2017-01-30 16:51:09
"78","S141",2016-12-26 18:11:16,2017-01-30 17:01:01
"79","S142",2016-12-26 13:14:57,2016-12-29 17:00:00
"80","S142",2016-12-29 18:00:00,2017-01-30 17:11:47
"81","S59",2016-12-25 11:29:57,2017-01-06 06:04:00
"82","S59",2017-01-06 07:04:00,2017-01-30 09:32:59
"83","S64",2016-12-24 12:43:46,2017-01-30 09:14:31
"84","S65",2016-12-24 13:35:40,2017-01-30 11:02:25
"85","S66",2016-12-18 10:40:03,2017-01-30 10:44:38
"86","S74",2016-12-22 11:59:58,2017-01-29 13:39:45
"87","S75",2016-12-22 13:16:03,2017-01-29 13:59:09
"88","S76",2016-12-22 17:50:04,2017-01-30 11:29:06
"89","S77",2016-12-24 11:18:55,2017-01-30 11:41:42
"90","S78",2016-12-29 12:48:48,2017-02-01 18:39:31
"91","S79",2016-12-26 11:50:22,2016-12-29 07:47:00
"92","S79",2016-12-29 08:47:00,2016-12-31 04:07:31
"93","S86",2016-12-22 10:25:33,2017-01-29 13:17:20
"94","S87",2016-12-23 18:20:28,2017-01-15 12:25:00
"95","S87",2017-01-15 13:25:00,2017-01-29 14:11:11
"96","S88",2016-12-22 14:23:06,2017-01-29 14:30:04
