"","Grid","effort_start","effort_end","hours","effort_hours","effort_secs"
"1","K1010",2017-04-05 10:47:04,2017-05-10 08:19:20,837.537777777778,837.537777777778,3015136
"2","K1011",2017-04-03 11:45:23,2017-04-05 18:17:00,54.5269444444444,883.878888888889,3181964
"3","K1011",2017-04-05 19:17:00,2017-05-10 08:38:07,829.351944444444,883.878888888889,3181964
"4","K743",2017-04-04 09:00:08,2017-05-09 07:35:52,838.595555555556,838.595555555556,3018944
"5","K781",2017-04-03 13:47:27,2017-04-09 21:44:00,151.9425,353.741666666667,1273470
"6","K781",2017-04-09 22:44:00,2017-04-18 08:31:57,201.799166666667,353.741666666667,1273470
"7","K781_2",2017-04-18 09:51:45,2017-05-04 21:39:57,395.803333333333,395.803333333333,1424892
"8","K782",2017-04-03 14:42:28,2017-05-08 06:11:03,831.476388888889,831.476388888889,2993315
"9","K783",2017-04-03 19:19:45,2017-05-09 17:33:00,862.220833333333,862.220833333333,3103995
"10","K819",2017-04-03 16:14:38,2017-05-03 14:28:20,718.228333333333,718.228333333333,2585622
"11","K820",2017-04-03 17:05:05,2017-05-06 23:37:06,798.533611111111,798.533611111111,2874721
"12","K821",2017-04-03 18:00:58,2017-04-30 08:20:17,638.321944444444,638.321944444444,2297959
"13","K822",2017-04-03 20:09:03,2017-04-30 23:04:09,650.918333333333,650.918333333333,2343306
"14","K826",2017-04-05 14:11:53,2017-05-09 10:22:38,812.179166666667,812.179166666667,2923845
"15","K827",2017-04-05 14:52:02,2017-05-01 17:13:51,626.363611111111,626.363611111111,2254909
"16","K855",2017-04-04 12:43:51,2017-05-09 09:44:40,837.013611111111,837.013611111111,3013249
"17","K856",2017-04-03 19:43:46,2017-05-09 08:29:00,852.753888888889,860.803888888889,3098894
"18","K856",2017-05-09 09:29:00,2017-05-09 17:32:00,8.05,860.803888888889,3098894
"19","K857",2017-04-12 04:10:25,2017-05-09 08:19:08,652.145277777778,652.145277777778,2347723
"20","K858",2017-04-03 16:26:14,2017-05-09 04:46:58,852.345555555556,852.345555555556,3068444
"21","K859",2017-04-03 17:09:17,2017-05-09 06:19:23,853.168333333333,853.168333333333,3071406
"22","K860",2017-04-03 12:49:25,2017-05-09 06:33:56,857.741944444444,857.741944444444,3087871
"23","K861",2017-04-04 10:49:48,2017-05-07 23:34:26,804.743888888889,804.743888888889,2897078
"24","K893",2017-04-04 13:17:15,2017-05-09 09:52:52,836.593611111111,836.593611111111,3011737
"25","K894",2017-04-04 08:49:12,2017-05-07 00:17:12,783.466666666667,783.466666666667,2820480
"26","K896",2017-04-03 18:37:10,2017-05-05 22:42:00,772.080555555556,853.551388888889,3072785
"27","K896",2017-05-05 23:42:00,2017-05-09 09:10:15,81.4708333333333,853.551388888889,3072785
"28","K897",2017-04-03 17:55:31,2017-04-23 18:06:00,480.174722222222,864.158333333333,3110970
"29","K897",2017-04-23 19:06:00,2017-05-09 19:05:01,383.983611111111,864.158333333333,3110970
"30","K898",2017-04-03 13:40:25,2017-04-23 08:03:40,474.3875,474.3875,1707795
"31","K902",2017-04-04 12:11:39,2017-05-10 06:23:07,858.191111111111,858.191111111111,3089488
"32","K931",2017-04-04 09:40:09,2017-05-08 20:00:16,826.335277777778,826.335277777778,2974807
"33","K932",2017-04-04 10:17:23,2017-05-05 22:47:09,756.496111111111,756.496111111111,2723386
"34","K933",2017-04-05 09:25:14,2017-05-09 06:01:07,812.598055555556,812.598055555556,2925353
"35","K934",2017-04-03 14:37:32,2017-04-14 05:37:00,254.991111111111,328.351666666667,1182066
"36","K934",2017-04-14 06:37:00,2017-04-17 07:58:38,73.3605555555555,328.351666666667,1182066
"37","K939",2017-04-04 13:11:18,2017-04-22 14:13:06,433.03,433.03,1558908
"38","K968",2017-04-04 14:27:43,2017-04-27 05:35:56,543.136944444444,543.136944444444,1955293
"39","K969",2017-04-05 08:49:34,2017-05-02 03:31:40,642.701666666667,642.701666666667,2313726
