"","Grid","DateTimeOriginal","Region.Label","Species","size","distance"
"1","K1010",2017-04-08 06:20:25,"Kanoi_Inside","CHINKARA",1,7.166929134
"2","K1010",2017-04-11 10:48:55,"Kanoi_Inside","CHINKARA",1,NA
"3","K1010",2017-04-11 10:49:45,"Kanoi_Inside","CHINKARA",1,NA
"4","K1010",2017-04-16 11:39:50,"Kanoi_Inside","CHINKARA",1,NA
"5","K1010",2017-04-21 04:18:40,"Kanoi_Inside","CHINKARA",1,NA
"6","K1010",2017-04-27 20:13:25,"Kanoi_Inside","CHINKARA",1,3.287582171
"7","K1010",2017-04-30 06:31:15,"Kanoi_Inside","DESERT_FOX",1,NA
"8","K1010",2017-05-10 07:44:50,"Kanoi_Inside","CHINKARA",1,NA
"9","K743",2017-04-21 01:27:33,"Kanoi_Inside","DESERT_FOX",1,NA
"10","K743",2017-04-22 02:37:23,"Kanoi_Inside","DESERT_FOX",1,NA
"11","K743",2017-04-25 05:51:23,"Kanoi_Inside","DESERT_FOX",1,NA
"12","K743",2017-04-28 22:27:28,"Kanoi_Inside","DESERT_FOX",1,3.123376623
"13","K743",2017-04-29 04:55:48,"Kanoi_Inside","DESERT_FOX",1,NA
"14","K743",2017-05-03 05:26:23,"Kanoi_Inside","DESERT_FOX",1,NA
"15","K743",2017-05-03 22:11:03,"Kanoi_Inside","DESERT_FOX",1,NA
"16","K743",2017-05-03 22:11:08,"Kanoi_Inside","DESERT_FOX",1,NA
"17","K743",2017-05-03 22:11:13,"Kanoi_Inside","DESERT_FOX",1,NA
"18","K743",2017-05-03 23:31:08,"Kanoi_Inside","DESERT_FOX",2,NA
"19","K743",2017-05-03 23:31:13,"Kanoi_Inside","DESERT_FOX",2,NA
"20","K743",2017-05-04 03:48:33,"Kanoi_Inside","DESERT_FOX",1,NA
"21","K743",2017-05-04 03:48:38,"Kanoi_Inside","DESERT_FOX",1,1.380280073
"22","K781_2",2017-04-23 20:00:55,"Kanoi_Inside","CHINKARA",1,NA
"23","K781_2",2017-04-30 02:44:00,"Kanoi_Inside","CHINKARA",1,NA
"24","K781_2",2017-05-04 21:39:55,"Kanoi_Inside","CHINKARA",1,NA
"25","K782",2017-04-11 01:36:44,"Kanoi_Inside","DESERT_FOX",1,NA
"26","K782",2017-04-14 20:04:59,"Kanoi_Inside","DESERT_CAT",1,NA
"27","K782",2017-04-14 20:05:14,"Kanoi_Inside","DESERT_CAT",1,NA
"28","K782",2017-04-14 20:05:19,"Kanoi_Inside","DESERT_CAT",1,NA
"29","K782",2017-04-23 09:54:24,"Kanoi_Inside","CHINKARA",1,NA
"30","K782",2017-04-23 09:54:29,"Kanoi_Inside","CHINKARA",1,NA
"31","K782",2017-04-23 09:56:24,"Kanoi_Inside","CHINKARA",1,NA
"32","K782",2017-04-23 09:56:29,"Kanoi_Inside","CHINKARA",1,NA
"33","K782",2017-04-25 01:08:09,"Kanoi_Inside","INDIAN_FOX",1,NA
"34","K782",2017-04-25 03:27:59,"Kanoi_Inside","DESERT_FOX",1,1.795729077
"35","K782",2017-05-08 06:10:59,"Kanoi_Inside","DESERT_FOX",1,NA
"36","K783",2017-04-05 13:23:46,"Kanoi_Inside","CHINKARA",1,NA
"37","K783",2017-04-09 10:37:46,"Kanoi_Inside","CHINKARA",1,NA
"38","K783",2017-04-14 13:44:56,"Kanoi_Inside","CHINKARA",1,NA
"39","K819",2017-04-08 20:45:32,"Kanoi_Inside","DESERT_CAT",1,2.340587045
"40","K819",2017-04-08 20:45:37,"Kanoi_Inside","DESERT_CAT",1,NA
"41","K819",2017-04-08 20:45:52,"Kanoi_Inside","DESERT_CAT",1,NA
"42","K819",2017-04-13 02:18:57,"Kanoi_Inside","CHINKARA",1,NA
"43","K820",2017-04-11 17:33:59,"Kanoi_Inside","MONGOOSE",1,NA
"44","K820",2017-05-06 23:37:04,"Kanoi_Inside","DESERT_FOX",1,NA
"45","K821",2017-04-03 21:45:27,"Kanoi_Inside","HARE",1,1.242627785
"46","K821",2017-04-03 21:45:32,"Kanoi_Inside","HARE",1,NA
"47","K821",2017-04-03 21:45:47,"Kanoi_Inside","HARE",1,NA
"48","K821",2017-04-03 21:45:57,"Kanoi_Inside","HARE",1,NA
"49","K821",2017-04-03 21:46:02,"Kanoi_Inside","HARE",1,NA
"50","K821",2017-04-06 01:20:02,"Kanoi_Inside","CHINKARA",1,NA
"51","K821",2017-04-06 01:20:07,"Kanoi_Inside","CHINKARA",1,NA
"52","K821",2017-04-06 23:17:32,"Kanoi_Inside","CHINKARA",1,NA
"53","K821",2017-04-06 23:17:37,"Kanoi_Inside","CHINKARA",1,NA
"54","K821",2017-04-06 23:17:42,"Kanoi_Inside","CHINKARA",1,NA
"55","K821",2017-04-06 23:18:02,"Kanoi_Inside","CHINKARA",1,2.257440476
"56","K821",2017-04-06 23:18:07,"Kanoi_Inside","CHINKARA",1,NA
