"","Region.Label","Area","Nc","n","ER_var","Effort","k","Covered_area","df_var","group_var","group_mean","ER_var_Nhat","rate_SE","rate","rate_df","rate_CV","p_var","p_average","ER","ER_CV","ER_df","Abundance","df_CV","group_CV","Abundance_CV","Abundance_se","df","bigC","LCI","UCI"
"1","Chouhani_Inside",1,6038.84366891518,879,2.12809129092336e-10,27725369,16,1141.62575064991,0.0104532125407528,0.000110693317983089,1.08646188850967,5.92679015255298,0,1,1,0,9.34307981599037e-06,0.158142858527013,3.17038160970914e-05,0.460133218017211,15,5.28968768046564,0.0193283534908638,0.00968380880418876,0.460640792510279,2.43664592526155,15.0662954863121,2.54629157271847,2.07740847008274,13.4690871630823
"2","Gajaimata_Inside",1,15429.0874891655,2160,9.76358269464514e-10,26034014,15,1071.98215378776,0.077391825631886,7.92770366304067e-05,1.12962962962963,29.3954108318534,0,1,1,0,9.34307981599037e-06,0.158142858527013,8.29683812876493e-05,0.376610121297149,14,14.3930451030814,0.0193283534793961,0.0078820217465972,0.377188142680138,5.42888594994271,14.0861463761514,2.18538282166838,6.58605209136463,31.4543135197722
"3","Gajaimata_PPC_Inside",1,2731.70729316373,397,2.5996299599624e-10,12888401,8,530.695568607295,0.00989844831986569,0.000203002046170901,1.08816120906801,7.26403062874889,0,1,1,0,9.34307981599037e-06,0.158142858527013,3.08028901335394e-05,0.523436857399466,7,5.1474092770975,0.0193283534615577,0.0130935366344466,0.523957221186388,2.69702226113704,7.02787706683764,3.20174118572789,1.60769062160385,16.4806722822809
"4","Kanoi_Inside",1,6715.44709569416,968,5.06407310157893e-11,44410744,36,1828.6663364488,0.00503814478396941,0.000118445798997545,1.09710743801653,1.43882186555548,0,1,1,0,9.34307981599037e-06,0.158142858527013,2.17965274348928e-05,0.326484580347883,35,3.67231952699217,0.0193283535038733,0.00991997714369859,0.327206620349643,1.20160726127111,35.3106402251275,1.91026837208456,1.92241026478641,7.01511584460167
"5","Miajlar_Inside",1,7132.79126548306,1020,3.98270497621539e-11,30513462,23,1256.42886703068,0.0120401788370733,0.000146784338627213,1.10588235294118,1.15256118178561,0,1,1,0,9.34307981599037e-06,0.158142858527013,3.34278686567915e-05,0.188790606325148,22,5.67703548736507,0.0193283534962405,0.0109554679404077,0.190093399578433,1.07916697532063,22.613553450392,1.47716168362897,3.84320521597758,8.38589929853757
"6","Miajlar_Outside",1,11622.4027889697,1740,9.93388774166513e-10,29913682,24,1231.73219688989,0.0332620471775883,4.84095297766965e-05,1.05632183908046,26.1447156780661,0,1,1,0,9.34307981599037e-06,0.158142858527013,5.81673630146901e-05,0.541851460400286,23,9.43581958668955,0.019328353461365,0.00658671956386051,0.542236088120352,5.11644190089594,23.0653745028914,2.85788332345306,3.30168118105278,26.9664714399118
"7","Ramdeora_Inside",1,14910.5689751853,2100,1.12338742794605e-10,39751762,26,1636.82709264958,0.0310007743252272,6.67671356298594e-05,1.12285714285714,3.34470272132807,0,1,1,0,9.34307981599037e-06,0.158142858527013,5.28278469769466e-05,0.200632769660826,25,9.10943436978991,0.0193283534840156,0.00727707526054043,0.201692958068756,1.83730876437612,25.5326047464933,1.5080628012271,6.04048741363931,13.7375991132998
"8","Rasla_Inside",1,2130.98462452818,267,1.13678231121396e-11,26439761,17,1088.68927943319,0.00143133884760141,0.00137489707520073,1.26217228464419,0.430399749193353,0,1,1,0,9.34307981599037e-06,0.158142858527013,1.00984271378247e-05,0.333875781274628,16,1.95738551374149,0.0193283534772191,0.0293776095568826,0.335722603518382,0.657138560762458,16.356901877155,1.99682485389665,0.980248973725364,3.90855604249627
"9","Rasla_Outside",1,1555.55554194045,227,2.24118020341523e-12,28517998,19,1174.26321264769,0.00065558627626468,0.000417326646718567,1.08370044052863,0.062696663772344,0,1,1,0,9.34307981599037e-06,0.158142858527013,7.95988554315769e-06,0.188075214519159,18,1.32470771900709,0.0193283534998007,0.018850757558398,0.190003217409513,0.251698728738563,18.7493514208781,1.48366826461753,0.892859779102018,1.96542680258469
"10","RKVY_Inside",1,20728.0937661822,2945,1.0687073254081e-10,62560015,36,2575.98461845701,0.0241892229368584,5.04432126697683e-05,1.11307300509338,3.12521985733605,0,1,1,0,9.34307981599037e-06,0.158142858527013,4.70747968970276e-05,0.219604349830784,35,8.04666829827505,0.0193283534806838,0.00638083800683616,0.220545620692284,1.774657454348,35.6039108687741,1.55606121403908,5.17117721698636,12.5211084411837
"11","Sudasri_Inside",1,10648.599726129,1413,7.85259608959447e-12,75364428,55,3103.22187913175,0.00439895042276566,0.000195987065669513,1.19179051663128,0.264664328772931,0,1,1,0,9.34307981599037e-06,0.158142858527013,1.87488983529471e-05,0.149462029513912,54,3.43146579293528,0.0193283534942181,0.0117466432704762,0.151163709743241,0.518713099117129,56.5011605643372,1.35127633646249,2.53942565287463,4.63685852537393
"12","Sudasri_Outside",1,7335.13995386556,1025,1.47235219617408e-11,46576261,32,1917.83412969513,0.00546492797363936,0.000180277736466389,1.13170731707317,0.446780371988174,0,1,1,0,9.34307981599037e-06,0.158142858527013,2.2006918932372e-05,0.174359899736908,31,3.82469987382674,0.0193283534907541,0.0118641580731976,0.175828661291935,0.672491858658388,32.0577395811682,1.42675615484255,2.68069624991301,5.45691408540783
"13","Total",12,106979.222189222,15141,2.78838154619985e-09,450695897,307,18557.9510854287,1.89970721675232,0.00299231094054068,1.12240542200611,78.9967940309534,0,1,1,0,9.34307981599037e-06,0.158142858527013,3.35947145309823e-05,1.57182844880814,61.0702228236783,71.3096782292668,0.0193283534815519,0.0487364177474609,0.126129418260226,8.9942482313813,64.046663688446,1.28527842418292,55.4818916178414,91.6527908635033
