"","Species","Region.Label","Density","Density_se","Density_CV","LCI","UCI","Area","Nc","n","k","Covered_area","group_mean","group_var","group_CV","ER","ER_var","ER_CV"
"1","DESERT_FOX","Chouhani_Inside",3.3486,0.7137,0.2131,2.1318,5.2598,1,4285.5005,654,15,1279.7886,1.00152905198777,2.337999981296e-06,0.00152671755725191,1.04795988409564e-05,4.95847805908663e-12,0.212485617712065
"2","DESERT_FOX","Gajaimata_Inside",4.653,3.8211,0.8212,0.7352,29.4471,1,2571.3003,393,6,552.6084,1,0,0,1.45841193635579e-05,1.43379895900906e-10,0.821039251983903
"3","DESERT_FOX","Gajaimata_PPC_Inside",1.9112,0.9448,0.4943,0.575,6.3528,1,752.4161,115,6,393.6821,1,0,0,5.99042012014387e-06,8.7595383988593e-12,0.494064135188768
"4","DESERT_FOX","Kanoi_Inside",2.0786,0.6904,0.3321,1.0339,4.1789,1,1694.572,252,14,815.2364,1.02777777777778,0.000107594314101618,0.0100924228307366,6.3390201555183e-06,4.41722882167435e-12,0.331552888571278
"5","DESERT_FOX","Miajlar_Inside",3.0312,0.885,0.292,1.6728,5.4927,1,4736.9502,657,22,1562.7554,1.10197869101979,0.000139602191459875,0.0107219288583121,8.62143412662031e-06,6.30704112369782e-12,0.291295192475444
"6","DESERT_FOX","Miajlar_Outside",4.4563,1.0572,0.2372,2.7401,7.2473,1,5764.1618,860,22,1293.4953,1.02441860465116,2.77326384144971e-05,0.00514065120051354,1.36344850752804e-05,1.04070843598996e-11,0.236606023468773
"7","DESERT_FOX","Rasla_Inside",0.0967,0.0016,0.0166,0.0935,0.0999,1,6.5427,1,1,67.6944,1,0,0,3.02936851601536e-07,0,0
"8","DESERT_FOX","Rasla_Outside",1.391,0.7917,0.5692,0.4198,4.6085,1,1452.4902,216,10,1044.2375,1.02777777777778,0.000125610106230261,0.0109046835781882,4.24189200637839e-06,5.8219446548542e-12,0.568819437590251
"9","DESERT_FOX","RKVY_Inside",0.5617,0.1511,0.269,0.3217,0.9808,1,961.7841,147,18,1712.1318,1,0,0,1.76069968816212e-06,2.23465612026487e-13,0.268485022392401
"10","DESERT_FOX","Sudasri_Inside",0.7457,0.3172,0.4254,0.2751,2.0214,1,340.2229,52,7,456.2627,1,0,0,2.33718758038296e-06,9.87143150351732e-13,0.425105279220674
"11","DESERT_FOX","Sudasri_Outside",1.3148,0.3524,0.268,0.7605,2.2733,1,2361.9323,361,22,1796.3589,1,0,0,4.12115779236221e-06,1.21548681103942e-12,0.267519769845473
"12","INDIAN_FOX","Chouhani_Inside",0.8594,0.6032,0.7019,0.1487,4.9662,1,381.2356,52,5,443.6206,1,0,0,1.94315893892909e-06,1.85622226411128e-12,0.701143099143783
"13","INDIAN_FOX","Gajaimata_Inside",8.4138,6.6678,0.7925,0.0013,55752.3262,1,1077.7237,147,2,128.0907,1,0,0,1.90246317213086e-05,2.26916256977028e-10,0.791801913845285
"14","INDIAN_FOX","Kanoi_Inside",0.7387,0.0243,0.0328,0.6926,0.7879,1,36.6573,5,1,49.6214,1,0,0,1.67038884982035e-06,0,0
"15","INDIAN_FOX","Miajlar_Inside",0.757,1.0315,1.3625,0,328822.923,1,102.6404,14,2,135.5813,1,0,0,1.71176745981412e-06,5.43641313085521e-12,1.36210773785346
"16","INDIAN_FOX","Miajlar_Outside",0.1716,0.0063,0.0365,0.1595,0.1846,1,21.9944,3,3,128.2026,1,0,0,3.87918861856404e-07,3.79187231134077e-17,0.0158739846230304
"17","INDIAN_FOX","Ramdeora_Inside",1.2509,0.3292,0.2632,0.6151,2.5439,1,483.8759,66,5,386.8293,1,0,0,2.82840273455119e-06,5.45503798941126e-13,0.261130524613402
"18","INDIAN_FOX","Rasla_Inside",2.8337,1.06,0.3741,1.2796,6.275,1,2485.3628,339,12,877.0861,1,0,0,6.40728611628419e-06,5.69998391747613e-12,0.372617027836252
"19","INDIAN_FOX","RKVY_Inside",0.5122,0.352,0.6872,0.112,2.3422,1,293.2581,40,7,572.5825,1,0,0,1.15808007231978e-06,6.31980096683568e-13,0.686456642696929
"20","INDIAN_FOX","Sudasri_Inside",2.4072,0.5159,0.2143,1.5575,3.7205,1,3313.8171,452,26,1376.6244,1,0,0,5.44301604744431e-06,1.32868123733146e-12,0.211773096292452
"21","INDIAN_FOX","Sudasri_Outside",0.0911,0.157,1.7231,0,267579.1543,1,14.6629,2,2,160.9194,1,0,0,2.06033654361238e-07,1.25987011875774e-13,1.72275977275415
"22","CHINKARA","Chouhani_Inside",5.6362,3.1207,0.5537,1.8593,17.0854,1,13193.353,1747,15,2340.8104,1.09158557527189,5.94526988030854e-05,0.00706363091830354,2.80195203192846e-05,2.40585650807558e-10,0.553572062960724
"23","CHINKARA","Gajaimata_Inside",14.8888,7.2437,0.4865,5.5011,40.2966,1,35442.8671,4518,14,2380.5051,1.13390880920761,4.39040419351984e-05,0.00584351445875056,7.12543108621503e-05,1.20119450791314e-09,0.4864021934983
